restaurantName,address,city,postalCode,country,priceRange,cuisineType,description,facilitiesServices,creditCards,phoneNumber,website,postalCode_clean,latitude,longitude,region
Burro & Alici,lungomare Colombo 98,Fano,61032, Italy,€€,"Seafood, Classic Cuisine","With just a road separating it from the beach (in summer, the large windows open completely, so that the dining room has the feel of an outdoor terrace), this simple restaurant is similar to the many others dotted along the seafront in Marotta. However, it’s the food that is the main attraction – the colourful, generous cuisine of the Adriatic, with fish served in classic recipes occasionally finished with an imaginative and personal twist. Fish also take pride of place on the delicious gourmet pizzas served here.",['Terrace'],"['Amex', 'Mastercard', 'Visa']",+39 0721 961200,https://www.ristoranteburroealici.it/,61032,43.84158578505636,13.017891871916264,Marche
Oishi,via Mario Capuani 47,Teramo,64100, Italy,€€,"Japanese, Fusion","East meets West in this attractive restaurant situated in the centre of Teramo. Tribute is paid to Japan in the intimate dining room, where photos of the country adorn the walls and Japanese influences are evident in the fusion cuisine which is prepared using a blend of ingredients from Italy and further afield (raw and marinated dishes, sashimi and nigiri, sushi rolls, tempura etc). The new section entitled “temporary food” has a more seasonal feel.","['Air conditioning', 'Counter dining', 'Terrace']","['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 391 394 2429,https://www.oishiteramo.it/,64100,42.66607447801418,13.717226268794326,Abruzzo
Uliassi,banchina di Levante 6,Senigallia,60019, Italy,€€€€,"Creative, Seafood","The Adriatic Riviera, a perfect picture-postcard summer holiday destination, is the setting for this fine restaurant run by chef Mauro Uliassi. Hidden among the private beach clubs that crowd Senigallia’s seafront, this three-Michelin-star restaurant comes as a surprise, surrounded as it is by beach parasols and the sound of the sea lapping on the shore. The strength and originality of Uliassi’s cuisine lies in his ability to make good use of local ingredients, taking inspiration from the culinary traditions that have been so familiar and successful along this coastline over the past few decades and giving them a personal, creative twist. Fish and seafood obviously take pride of place, although there’s also room on the menu for meat, inspired by the Marche’s traditional game dishes – the delicious skewered pigeon is cooked to perfection! The colourful dining experience here is enhanced by the owner’s warm welcome, with Mauro’s sister Catia and his son Filippo working alongside the chef. It’s also worth mentioning that the restaurant has a keen focus on the environment, hence its banning of the use of plastic and doing its utmost to persuade its fish suppliers not to use polystyrene to transport their fish.","['Air conditioning', 'Great view', 'Interesting wine list', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 071 65463,http://www.uliassi.com,60019,43.677374900000004,13.21057117642292,Marche
Oberlechner,località Velloi 7,Lagundo,39022, Italy,€€,"Regional Cuisine, Classic Cuisine","From Merano you climb to an altitude of 1 000m to this restaurant, which boasts breathtaking views of the town and surrounding mountains. The menu here focuses mainly on local ingredients which are carefully prepared without too many creative twists, resulting in delicious and generous dishes such as braised beef with a Lagrein sauce (accompanied by rice and vegetables). All the attractive guestrooms have a balcony and the same stunning view.","['Car park', 'Garden or park', 'Great view', 'Terrace']","['Mastercard', 'Visa']",+39 0473 448350,https://www.gasthofoberlechner.com,39022,46.69468615,11.10514993502038,Trentino-Alto Adige
Ai Gondolieri,fondamenta de l'Ospedaleto,Venezia, Venice,30123,€€€,"Venetian, Traditional Cuisine","Situated behind the Guggenheim museum, this rustic restaurant with wood panelling on the walls offers a meat-based menu that focuses on traditional, regional cuisine (the braised rack of lamb with spinach tortino with butter and parmesan cheese is superb). The well-stocked wine cellar is home to a huge selection of white, red and sparkling wines, plus there’s an extensive choice of cocktails. At Ai Gondolieri, enjoy a good glass of wine accompanied by typical Venetian fare such as cured hams and sweet-and-sour vegetables.",['Air conditioning'],"['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 041 528 6396,https://aigondolieri.it/?lang=it, Venice,45.4371908,12.3345898,Veneto
Locanda Belvedere,via San Giuseppe 736,Saludecio, Saludecio,47835,€€,"Country cooking, Modern Cuisine","Using local ingredients, this restaurant offers regional cuisine with some creative touches. Pretty and inviting rooms, tastefully decorated and with period furniture. All overlooking the valley.","['Air conditioning', 'Car park', 'Great view', 'Terrace', 'Wheelchair access']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0541 982144,https://www.belvederesaludecio.it/, Saludecio,43.8726846,12.6685074,Emilia-Romagna
Tenuta del Gallo,Strada degli Ortacci 34,Amelia,5022, Italy,€€,"Italian, Classic Cuisine","Whether you dine indoors in the charming, romantic dining room or outdoors with views of the surrounding countryside, you’ll enjoy traditional local cuisine and classic Italian favourites at this restaurant. Our inspectors particularly enjoyed the excellent beef carpaccio with truffles and the local guinea fowl with chickpeas. Comfortable guestrooms are also available.","['Car park', 'Garden or park', 'Great view', 'Terrace']","['Mastercard', 'Visa']",+39 0744 987112,https://tenutadelgallo.com/,05022,42.55492829443969,12.415422410521813,Umbria
Il Fico trentacareghe,Località Fiascherino 7,Lerici,19032, Italy,€€,Seafood,"Situated on one of the region’s most beautiful coast roads, this restaurant with a charming garden of olive trees boasts stunning views of the sea which can be admired either from the dining room or, even better, from the summer terrace. The cuisine is equal to the setting, with a focus on fish and seafood dishes influenced by Ligurian traditions.","['Air conditioning', 'Car park', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0187 304242,https://www.ilficotrentacareghe.com/,19032,44.07726970232558,9.912897946511627,Liguria
Trattoria al Parco,via Stretta 7,Buttrio,33042, Italy,€€,"Country cooking, Grills","This elegant house built in brick and stone boasts extensive tree-shaded grounds, a wine cellar next door, plus personalised, welcoming dining rooms. Here, the menu focuses on meat dishes, many of which are cooked over the grill, while the wine list features just a few labels produced by the restaurant’s own winery. A choice of excellent desserts completes the picture.","['Air conditioning', 'Car park', 'Garden or park', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0432 674025,https://www.delparcohotel.eu/la-trattoria-al-parco/,33042,46.01303441915175,13.334034208614977,Friuli-Venezia Giulia
Selvatico,via Silvio Pellico 19,Rivanazzano Terme,27055, Italy,€€,"Country cooking, Traditional Cuisine","Opened in 1912 and now run by the fourth generation of the same family, this is one of the best restaurants in the Oltrepò Pavese area. If you’re looking to sample the gastronomic delights of this region, you’ll find a whole host of delicious specialities on offer, from charcuterie and stews to boiled meats and excellent fresh pasta. Attractively furnished guestrooms with the same nostalgic feel as the restaurant are also available.","['Interesting wine list', 'Terrace', 'Wheelchair access']","['Mastercard', 'Visa']",+39 0383 944720,https://albergoselvatico.com/,27055,44.92430803333333,9.023071916666668,Lombardia
